Município-São Paulo,Codigo Municipio,Ano,Gini,Densidade,% Trab,PIB per capita,Anos Medios de Educação,Investimento em Segurança,Urbanização,População,Homicídio Doloso,Furto,Roubo,Furto e Roubo de Veículo,Crime,Tx.Crime,Tx.Seg
SOROCABA,3552205,2013,0.40427657816966156,1401.4053452115813,0.3274997576406757,39258.97812693887,13.7962809295735,27451871.46552658,0.9973100329851925,629231.0,59,7840,2081,3598,13519,21.484955445615363,43627.65258788359
SOROCABA,3552205,2012,0.41195818151617314,1337.8440979955456,0.32289093245789857,38490.34761997921,13.76333536126378,28433754.6165018,0.997862072535446,600692.0,65,7855,2240,3134,13229,22.022933549972365,47334.99799648039
SOROCABA,3552205,2011,0.41355706815059823,1322.4409799554567,0.31405277411010213,36029.549080656245,13.693849643655787,28493513.042287108,0.997227335513172,593776.0,51,7416,2019,2374,11809,19.887971221470725,47986.97327323285
SOROCABA,3552205,2010,0.4106260156173816,1305.815144766147,0.30112175961221943,33636.48,13.579345344971141,20879716.82,0.9973710313372428,586311.0,59,7565,1809,2391,11765,20.066142371540018,35612.01618253793
SUZANO,3552502,2017,0.3653236850230531,1407.4007744433688,0.19382052419618323,23923.20657443332,14.076813882924926,7095365.490320261,0.9447172799580759,290769.0,37,2448,2462,1619,6529,22.454250625066635,24402.06999480777
SUZANO,3552502,2016,0.36880997651964076,1394.269119070668,0.18644291387785708,24032.622428418872,14.010240941421815,5867573.039122012,0.936876678715094,288056.0,28,2143,2332,1465,5940,20.620990362984976,20369.556749805637
SUZANO,3552502,2015,0.3778558367374375,1380.8325266214908,0.19174495232753785,22917.67410897689,13.92146395861136,6598091.143652348,0.9335584393441048,285280.0,41,2039,2151,1678,5868,20.56926528323051,23128.47428369443
SUZANO,3552502,2014,0.3819828337998077,1367.0909970958373,0.19249329948555627,28729.138538152765,13.84181871689229,8766552.659068644,0.9302545860478938,282441.0,29,2306,2064,1741,6111,21.636377154874822,31038.527193532962
SUZANO,3552502,2013,0.3912181743310916,1352.9525653436592,0.1916607040641099,26986.630154763905,13.741418251731282,713267.7267351125,0.9403002252534446,279520.0,34,2806,1726,1362,5894,21.086147681740126,2551.759182652807
SUZANO,3552502,2012,0.39251535273366506,1295.1742497579864,0.19104726383963105,25779.508367188937,13.688464623148999,257672.74738286767,0.9615216623537302,267583.0,33,2466,1165,1204,4835,18.06915984946727,962.9638182652399
SUZANO,3552502,2011,0.3943359469316218,1283.0300096805422,0.18836249500139585,25350.049379779517,13.542419387141999,85751.73839844976,0.9572549064179329,265074.0,26,2156,1282,937,4375,16.50482506771694,323.50112949006603
SUZANO,3552502,2010,0.4012970969011426,1270.9002904162633,0.18267267907741994,24965.99,13.456342256692519,571916.53,0.9578691438750259,262568.0,38,1649,1079,886,3614,13.764053502330825,2178.1653895371865
TABAPUA,3552601,2017,0.25163331188654015,35.44849537037037,0.15998693984164558,12766.441943979855,12.85765306122449,165775.60612320877,0.6257854918938625,12251.0,2,81,3,3,87,7.1014611052159005,13531.597920431701
